"Argentina","0","1.1","1.1","0","1.2","1.2","0","1.1","1.2","0","1.2","1.2","0","1.2","1.3","0","1.5","1.5","0","1.5","1.6","0","1.6","1.6","0","1.6","1.6","0","1.8","1.8","0","1.9","1.9","0","1.7","1.8","0","1.8","1.8","0","1.7","1.7","0","1.5","1.6","0","1.6","1.7","0","1.7","1.7","0","1.9","1.9"
"Armenia","0","1.1","1.1","0","1.2","1.2","0","1.2","1.2","0","1.2","1.3","0","1.3","1.3","0","1.3","1.3","0","1.3","1.3","0","1.3","1.4","0","1.4","1.5","0","1.5","1.5","0","1.5","1.5","0","1.5","1.6","0","1.6","1.6","0","1.6","1.6","0","1.6","1.6","0","1.6","1.6","0","1.6","1.6","0","1.7","1.7"
"Australia","0","0.5","0.5","0","0.5","0.5","0","0.6","0.6","0","0.5","0.6","0","0.6","0.6","0","0.7","0.8","0","0.7","0.7","0","0.7","0.7","0","0.7","0.7","0","0.9","0.9","0","0.9","0.9","0","0.9","0.9","0","0.8","0.8","0","0.9","0.9","0","0.9","0.9","0","0.9","0.9","0","0.7","0.7","0","0.7","0.7"
"Austria","0","0.5","0.5","0","0.4","0.4","0","0.4","0.4","0","0.5","0.5","0","0.5","0.5","0","0.5","0.5","0","0.6","0.6","0","0.4","0.4","0","0.5","0.5","0","0.5","0.6","0","0.6","0.6","0","0.5","0.6","0","0.5","0.5","0","0.4","0.4","0","0.3","0.4","0","0.6","0.6","0","0.6","0.6","0","0.7","0.7"
"Azerbaijan","0","2.7","2.7","0","2.8","2.8","0","2.9","3","0","3","3.1","0","2.9","3","0","3","3.1","0","3","3.1","0.1","3.1","3.2","0.1","3.3","3.3","0.1","3.5","3.6","0.1","3.8","3.9","0.1","4.1","4.1","0.1","4.4","4.4","0.1","4.7","4.7","0.1","5","5.1","0.1","5.4","5.4","0.1","5.9","6","0.1","6.5","6.5"
"Bahamas","0","1","1","0","1.1","1.1","0","1.1","1.1","0","1","1","0.1","1.2","1.3","0.1","1.4","1.4","0.1","1.9","1.9","0","1.9","1.9","0","2.1","2.1","0","2","2","0","1.4","1.4","0","1.3","1.3","0.2","1.3","1.4","0.2","1.5","1.6","0.1","1.5","1.6","0","1.2","1.2","0","1.1","1.1","0","0.9","0.9"
"Bahrain","0.1","0.9","1","0.1","1","1","0.1","1","1","0","1.1","1.1","0.1","0.8","0.9","0","1.3","1.3","0","1.8","1.8","0","1.2","1.2","0","1.1","1.1","0","1.2","1.2","0.1","1.1","1.2","0","1.3","1.3","0.1","1.4","1.5","0","1.3","1.3","0","0.7","0.7","0","1.2","1.2","0","0.8","0.8","0","1.5","1.5"
"Bangladesh","0","1.4","1.4","0","1.4","1.4","0","1.4","1.4","0","1.4","1.4","0.1","1.4","1.5","0.1","1.5","1.5","0.1","1.5","1.6","0.1","1.6","1.6","0.1","1.6","1.7","0.1","1.6","1.7","0.1","1.6","1.7","0.1","1.6","1.7","0.1","1.7","1.8","0.1","1.7","1.8","0.1","1.8","1.8","0.1","1.8","1.9","0.1","2","2","0.1","2","2.1"
"Barbados","0.1","1.5","1.7","0.1","1.5","1.7","0.1","1.6","1.8","0.2","1.6","1.8","0.2","1.6","1.8","0.1","1.6","1.7","0","2.1","2.1","0","3","3","0.1","3.1","3.2","0.2","3.1","3.3","0.2","3","3.2","0.1","3","3.1","0.1","2.7","2.8","0.1","1.6","1.8","0.1","1","1.1","0","1.1","1.1","0","1.3","1.3","0","1.6","1.6"
"Belarus","0","0.5","0.5","0","0.5","0.5","0","0.5","0.6","0","0.6","0.6","0","0.6","0.6","0","0.7","0.7","0","0.7","0.7","0","0.8","0.8","0","0.9","0.9","0","0.9","0.9","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1.1","1.1","0","1.2","1.2","0","1.2","1.2"
