"Argentina","0.6","0","0.6","0.6","0","0.6","0.6","0","0.6","0.7","0","0.7","0.6","0","0.6","0.8","0","0.8","0.8","0","0.8","0.9","0","0.9","0.8","0","0.8","0.8","0","0.8","0.9","0","0.9","0.9","0","0.9","1","0","1","1.1","0","1.1","1.3","0","1.3","1.3","0","1.3","1.1","0","1.1","1.1","0","1.1"
"Armenia","0.5","0","0.5","0.5","0","0.5","0.5","0","0.5","0.6","0","0.6","0.6","0","0.6","0.7","0","0.7","0.7","0","0.7","0.7","0","0.7","0.8","0","0.8","0.8","0","0.8","0.9","0","0.9","1","0","1","1.1","0","1.1","1.2","0","1.2","1.2","0","1.2","1.3","0","1.3","1.3","0","1.3","1.4","0","1.4"
"Australia","0","0","0","0","0","0","0","0","0","0.1","0","0.1","0","0","0","0","0","0","0.1","0","0.1","0.1","0","0.1","0","0","0","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.2","0","0.2","0.1","0","0.1","0.2","0","0.2"
"Austria","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0","0","0","0","0","0","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.2","0","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","0","0.1"
"Azerbaijan","1.3","0","1.3","1.4","0","1.4","1.5","0","1.5","1.6","0","1.6","1.7","0","1.7","1.8","0","1.8","1.9","0","1.9","2.1","0","2.1","2.1","0","2.1","2.2","0","2.2","2.2","0","2.2","2.3","0","2.3","2.3","0","2.3","2.4","0","2.4","2.5","0","2.5","2.6","0","2.6","2.6","0","2.6","2.7","0","2.7"
"Bahamas","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.4","0","0.4","0.5","0","0.5","0.7","0","0.7","1.1","0","1.1","1.8","0","1.8","2.2","0","2.2","1.9","0","1.9","1.7","0","1.7","1.2","0","1.2","1.3","0","1.3","0.9","0","0.9","1","0","1"
"Bahrain","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3","0","0.3","0.5","0","0.5","0.4","0","0.4","0.3","0","0.3","0.4","0","0.4","0.2","0","0.2","0.1","0","0.1","0.2","0","0.2","0.1","0","0.1","0","0","0","0.1","0","0.1","0.2","0","0.2"
"Bangladesh","3.6","0","3.6","3.9","0","3.9","4.1","0","4.1","4.3","0","4.3","4.6","0","4.6","4.9","0","4.9","5.2","0","5.2","5.5","0","5.5","5.8","0","5.8","6.2","0","6.2","6.5","0","6.5","6.9","0","6.9","7.3","0","7.3","7.7","0","7.7","8","0","8","8.4","0","8.4","8.7","0","8.7","9","0","9"
"Barbados","1.3","0","1.3","1.4","0","1.4","1.4","0","1.4","1.4","0","1.4","1.6","0","1.6","1.5","0","1.5","2.1","0","2.1","1.5","0","1.5","1.3","0","1.3","1.2","0","1.2","1.7","0","1.7","1.6","0","1.6","1.3","0","1.3","1.1","0","1.1","1.2","0","1.2","0.6","0","0.6","0.2","0","0.2","0.1","0","0.1"
"Belarus","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.2","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.2","0.3","0","0.3","0.3","0","0.3"
"Belgium","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.2","0","0.2","0.2","0","0.2","0.1","0","0.1","0.1","0","0.1","0.1","0","0.1","0.2","0","0.2","0.1","0","0.1"
"Belize","0.9","0","0.9","0.8","0","0.8","0.7","0","0.7","1","0","1","1.4","0","1.4","1.6","0","1.6","1.6","0","1.6","1.7","0","1.7","1.8","0","1.8","1.5","0","1.5","1","0","1","0.8","0","0.8","0.7","0","0.7","1","0","1","1.2","0","1.2","1.4","0","1.4","1.2","0","1.2","1.1","0","1.1"
"Benin","6.5","0","6.5","6.6","0","6.6","6.8","0","6.8","7","0","7","7.1","0","7.1","7.1","0","7.1","7.1","0","7.1","7.1","0","7.1","7.2","0","7.2","7.3","0","7.3","7.4","0","7.4","7.4","0","7.4","7.4","0","7.4","7.3","0","7.3","7.2","0","7.2","7.3","0","7.3","7.2","0","7.2","7.5","0","7.5"
"Bhutan","2.8","0","2.8","2.9","0","2.9","3","0","3","3.1","0","3.1","3.3","0","3.3","3.6","0","3.6","3.8","0","3.8","4.1","0","4.1","4.3","0","4.3","4.5","0","4.5","4.7","0","4.7","4.8","0","4.8","5","0","5","5.2","0","5.2","5.4","0","5.4","5.6","0","5.6","5.8","0","5.8","6","0","6"
"Bolivia (Plurinational State of)","2.6","0","2.6","2.7","0","2.7","2.7","0","2.7","2.7","0","2.7","2.7","0","2.7","2.7","0","2.7","2.8","0","2.8","2.9","0","2.9","3","0","3","3.1","0","3.1","3.1","0","3.1","3.3","0","3.3","3.4","0","3.4","3.5","0","3.5","3.6","0","3.6","3.7","0","3.7","3.8","0","3.8","3.9","0","3.9"
"Bosnia and Herzegovina","0.2","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.2","0.2","0","0.2","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3","0.3","0","0.3"
"Botswana","3.5","0","3.5","3.6","0","3.6","3.7","0","3.7","3.8","0","3.8","4","0","4","4.1","0","4.1","4.2","0","4.2","4.3","0","4.3","4.3","0","4.3","4.2","0","4.2","4.1","0","4.1","4.1","0","4.1","3.9","0","3.9","3.8","0","3.8","3.6","0","3.6","3.4","0","3.4","3.3","0","3.3","3.2","0","3.2"
"Brazil","1.2","0","1.2","1.3","0","1.3","1.3","0","1.3","1.3","0","1.3","1.4","0","1.4","1.5","0","1.5","1.6","0","1.6","1.6","0","1.6","1.9","0","1.9","1.9","0","1.9","2.1","0","2.1","2.1","0","2.1","2.2","0","2.2","2.3","0","2.3","2.4","0","2.4","2.4","0","2.4","2.5","0","2.5","2.7","0","2.7"
